,initial_gdp_share,gdp_per_capita_1990,gdpper_diff,initial_population,color,cum_gdp_share
Tunisia,0.09404989628724354,4230.166211008042,28.721674583472424,8154.399998000002,#bde2ee,95.38260961500723
Morocco,0.1897267923542969,2879.3353300859085,28.82556739802777,24167.267000999982,#6399c7,95.57233640736152
Chad,0.016267185079181234,975.9864902153207,29.336980182749038,6113.074996000002,#6399c7,95.5886035924407
Namibia,0.01707234986367173,4417.516805660529,29.475115349359463,1417.444992,#bde2ee,95.60567594230437
Djibouti,0.004639694656791242,3035.5399278394557,30.457418559957247,560.589001,#bde2ee,95.61031563696116
Burkina Faso,0.02111406172292426,872.9108972431973,30.847118639564844,8871.417,#6399c7,95.63142969868409
Thailand,0.6850403329172947,4627.824055620368,31.232869817374645,54291.32299999999,#bde2ee,96.31647003160138
Venezuela,0.5782099013123375,10737.657481517466,32.367233163579854,19750.00000099999,#A9A9A9,96.89467993291372
Algeria,0.45135786016194646,6547.746518902334,32.74683821250715,25282.515000999996,#A9A9A9,97.34603779307567
Mauritania,0.009739223255223911,1836.2667806202846,33.01514742300479,1945.2690000000002,#6399c7,97.35577701633089
Niger,0.017498624815893545,820.5364623679029,33.402096010008506,7821.628003000002,#6399c7,97.37327564114679
Egypt,0.5285350722692796,3515.783884423878,33.59410181069619,55136.95299800003,#bde2ee,97.90181071341607
Iraq,0.36613745229491773,7252.953083542651,33.70743696799125,18514.859003999987,#A9A9A9,98.26794816571099
Yemen,0.06574864371042519,1958.3653902058415,33.72413083959925,12313.575999,#6399c7,98.33369680942141
Eritrea,0.00694684498647325,806.6792280411024,34.35381899548453,3158.477998999999,#6399c7,98.34064365440788
Saudi Arabia,0.9619217823033331,21539.53580354698,40.16495948493471,16379.26998900001,#fdbf71,99.30256543671122
Oman,0.08605651326199472,17125.76594260159,41.08906456146095,1842.9979990000002,#fdbf71,99.38862194997321
Kuwait,0.13748808889144834,23729.974006999324,43.0098247635708,2125.0000019999993,#fdbf71,99.52611003886466
Sudan,0.08333006949154503,1179.1100354454668,43.775019713290845,25920.210872000003,#6399c7,99.6094401083562
Bahrain,0.027068029885090605,20139.242734245243,45.262629653094784,492.952,#fdbf71,99.63650813824128
United Arab Emirates,0.2998483970777779,62027.47726824577,46.78299889550809,1772.999999,#ea5739,99.93635653531906
Qatar,0.06364346468095275,49937.89273180757,48.26010349075539,467.42799999999994,#ea5739,100.00000000000001
